id,mainAsset,mainTimeFrame,parameters,ASSETS,ASSETS 1,TIMEFRAMES,TIMEFRAMES 1,INDICATORS_PROPERTIES,LAG_TIMESTEPS,ASSETS,LABELS,PERCENTAGE_OF_DATASET_FOR_TRAINING,FEATURES,EPOCHS,LSTM_NEURONS,CANDLES_CANDLES-VOLUMES_CANDLES_CANDLE_MAX,CANDLES_CANDLES-VOLUMES_CANDLES_CANDLE_MIN,CANDLES_CANDLES-VOLUMES_CANDLES_CANDLE_CLOSE,HOUR_OF_DAY,DAY_OF_MONTH,DAY_OF_WEEK,WEEK_OF_YEAR,MONTH_OF_YEAR,YEAR,CANDLES_CANDLES-VOLUMES_CANDLES_CANDLE_OPEN,CANDLES_CANDLES-VOLUMES_VOLUMES_VOLUME_BUY,MASTERS_RESISTANCES-AND-SUPPORTS_RESISTANCES_RESISTANCE_RESISTANCE1RATE,MASTERS_RESISTANCES-AND-SUPPORTS_RESISTANCES_RESISTANCE_RESISTANCE2RATE,MASTERS_RESISTANCES-AND-SUPPORTS_RESISTANCES_RESISTANCE_RESISTANCE3RATE,MASTERS_RESISTANCES-AND-SUPPORTS_RESISTANCES_RESISTANCE_RESISTANCE4RATE,MASTERS_RESISTANCES-AND-SUPPORTS_RESISTANCES_RESISTANCE_RESISTANCE5RATE,MASTERS_RESISTANCES-AND-SUPPORTS_SUPPORTS_SUPPORT_SUPPORT1RATE,MASTERS_RESISTANCES-AND-SUPPORTS_SUPPORTS_SUPPORT_SUPPORT2RATE,MASTERS_RESISTANCES-AND-SUPPORTS_SUPPORTS_SUPPORT_SUPPORT3RATE,MASTERS_RESISTANCES-AND-SUPPORTS_SUPPORTS_SUPPORT_SUPPORT4RATE,MASTERS_RESISTANCES-AND-SUPPORTS_SUPPORTS_SUPPORT_SUPPORT5RATE,parametersHash,status,timeSeriesFileName,parametersFileName,filesTimestaps,parameters,forcastedCandle,begin,end,open,predictions,predictions 1,predictions 2,predictions 3,errorRMSE,percentageErrorRMSE,enlapsedSeconds,enlapsedMinutes,enlapsedHours,testedBy,timestamp,when,,
827,BTC,01-hs,31,1,BTC,1,01-hs,6,15,1,3,80,6,1000,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,c59f314e9e6f9e4051bc9ef4481ac7c2,Tested,time-series-BTC-01-hs-0000000827,parameters-0000000827,1,2022-04-19T20:06:50.079Z,3,1650394800000,1650398399999,41417.24,3,41573.17,41182.836,41510.42,278.821,0.67,1597,26.61,0.44,p-pl / note2,1650400411273,23:43:30 HH:MM:SS ago,,
685,BTC,01-hs,31,1,BTC,1,01-hs,8,15,1,3,80,8,100,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,OFF,ON,ON,OFF,OFF,OFF,OFF,ON,OFF,OFF,a17aa8faee7e44003d769eff19a36a34,Tested,time-series-BTC-01-hs-0000000685,parameters-0000000685,1,2022-04-19T14:32:23.923Z,3,1650373200000,1650376799999,41451.52,3,41521.9,41032.918,41280.57,288.895,0.7,412,6.86,0.11,Luis-Fernando-Molina / Laptop-Lenovo-01,1650379159006,00:10:01 HH:MM:SS ago,,
758,BTC,01-hs,31,1,BTC,1,01-hs,7,15,1,3,80,7,500,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,OFF,OFF,ON,OFF,OFF,ON,OFF,OFF,OFF,OFF,2e62fe4aede575b4cccd387af32959e8,Tested,time-series-BTC-01-hs-0000000758,parameters-0000000758,1,2022-04-19T16:29:28.139Z,3,1650380400000,1650383999999,41445.87,3,41688.41,41131.81,41576.83,291.219,0.7,1937,32.28,0.54,caoHenriques / caoH_3,1650387712914,00:01:58 HH:MM:SS ago,,
517,BTC,01-hs,31,1,BTC,1,01-hs,8,10,1,3,80,8,100,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,OFF,OFF,ON,OFF,OFF,ON,OFF,ON,OFF,OFF,886ce0127024f952b8aed1c93b419e0d,Tested,time-series-BTC-01-hs-0000000517,parameters-0000000517,1,2022-04-19T05:59:05.896Z,3,1650340800000,1650344399999,40864.27,3,40988.145,40695,40948.23,295.706,0.72,208,3.47,0.06,p-pl / note1,1650348158741,04:15:31 HH:MM:SS ago,,
676,BTC,01-hs,31,1,BTC,1,01-hs,8,15,1,3,80,8,100,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,ON,ON,OFF,OFF,4e02c276e484ff48fb2e76a7ca48d7f3,Tested,time-series-BTC-01-hs-0000000676,parameters-0000000676,1,2022-04-19T14:25:49.182Z,3,1650373200000,1650376799999,41451.52,3,41491.605,41162.312,41439.19,298.165,0.72,380,6.33,0.11,Luis-Fernando-Molina / Laptop-Lenovo-01,1650378733362,02:47:57 HH:MM:SS ago,,
699,BTC,01-hs,31,1,BTC,1,01-hs,8,15,1,3,80,8,100,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,OFF,OFF,ON,OFF,OFF,OFF,ON,ON,OFF,OFF,b7667b2ec8a72854c78bb72e7518e399,Tested,time-series-BTC-01-hs-0000000699,parameters-0000000699,1,2022-04-19T14:40:11.114Z,3,1650373200000,1650376799999,41451.52,3,41602.574,41181.89,41276.82,301.182,0.72,179,2.99,0.05,p-pl / note2,1650379395188,00:06:01 HH:MM:SS ago,,
468,BTC,01-hs,31,1,BTC,1,01-hs,6,5,1,3,80,6,1000,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,e516c9c71af8aa5e7c3cf0734393c1a6,Tested,time-series-BTC-01-hs-0000000468,parameters-0000000468,1,2022-04-19T05:09:48.335Z,3,1650340800000,1650344399999,40864.27,3,41124.664,40557.45,41059.113,301.521,0.73,1088,18.13,0.3,p-pl / note3,1650346079951,07:24:19 HH:MM:SS ago,,
665,BTC,01-hs,31,1,BTC,1,01-hs,10,15,1,3,80,10,100,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,ON,OFF,ON,OFF,OFF,ON,ON,ON,OFF,OFF,022ca17dff97a7e4a7f6cc742dee58fb,Tested,time-series-BTC-01-hs-0000000665,parameters-0000000665,1,2022-04-19T14:11:15.483Z,3,1650373200000,1650376799999,41451.52,3,41653.66,41133.953,41442.79,304.578,0.73,503,8.39,0.14,caoHenriques / caoH_3,1650377985773,02:46:00 HH:MM:SS ago,,
692,BTC,01-hs,31,1,BTC,1,01-hs,7,15,1,3,80,7,100,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,OFF,ON,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,29b3236a26857b5a2be88ff78f01b459,Tested,time-series-BTC-01-hs-0000000692,parameters-0000000692,1,2022-04-19T14:35:17.413Z,3,1650373200000,1650376799999,41451.52,3,41524.29,40955.965,41464.883,303.969,0.73,411,6.85,0.11,caoHenriques / caoH_3,1650379334849,00:01:02 HH:MM:SS ago,,
704,BTC,01-hs,31,1,BTC,1,01-hs,7,15,1,3,80,7,100,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,OFF,OFF,OFF,OFF,OFF,ON,ON,OFF,OFF,OFF,745c15bb3780b62e01b7d6403033c0b1,Tested,time-series-BTC-01-hs-0000000704,parameters-0000000704,1,2022-04-19T14:43:20.108Z,3,1650373200000,1650376799999,41451.52,3,41548.527,41253.71,41423.89,308.485,0.74,206,3.44,0.06,p-pl / note1,1650379611674,00:06:19 HH:MM:SS ago,,
